id,event_timestamp,minutes
0,2021-05-09 13:11:28,18
0,2021-05-05 03:10:45,16
0,2021-05-29 10:37:23,14
0,2021-05-07 04:43:08,11
0,2021-05-10 03:43:45,15
0,2021-05-22 00:56:51,12
0,2021-05-15 08:59:58,1
0,2021-05-04 21:11:27,10
0,2021-05-05 18:59:40,5
0,2021-05-01 11:50:52,1
0,2021-05-03 11:19:28,1
1,2021-05-12 04:58:35,13
1,2021-05-14 08:22:49,16
1,2021-05-02 02:50:13,17
1,2021-05-23 07:36:58,17
1,2021-05-08 13:45:00,14
1,2021-05-27 13:20:07,16
1,2021-05-12 07:59:59,15
1,2021-05-16 04:21:41,1
1,2021-05-01 06:47:25,3
2,2021-05-15 04:08:23,10
2,2021-05-17 17:14:28,10
2,2021-05-30 11:57:19,7
2,2021-05-03 18:58:00,14
2,2021-05-09 14:43:57,16
2,2021-05-27 10:09:32,9
2,2021-05-24 01:18:27,15
2,2021-05-24 05:47:35,1
2,2021-05-16 03:58:07,1
3,2021-05-27 19:16:53,12
3,2021-05-12 04:14:28,11
3,2021-05-23 20:27:16,18
3,2021-05-20 10:06:19,12
3,2021-05-27 16:22:51,17
3,2021-05-24 11:09:44,8
3,2021-05-30 22:06:20,20
3,2021-05-29 05:09:04,3
3,2021-05-15 12:08:47,11
3,2021-05-01 23:56:53,1
3,2021-05-29 01:37:28,1
4,2021-05-31 05:09:03,19
4,2021-05-29 18:12:52,20
4,2021-05-21 11:48:24,11
4,2021-05-14 08:08:40,22
4,2021-05-07 00:39:54,15
4,2021-05-29 06:02:41,14
4,2021-05-16 19:51:32,11
4,2021-05-24 06:47:05,13
4,2021-05-23 04:13:07,1
4,2021-05-26 21:09:20,1
5,2021-05-05 03:13:09,10
5,2021-05-20 09:42:29,16
5,2021-05-30 07:29:15,14
5,2021-05-13 01:39:25,25
5,2021-05-02 17:03:04,11
5,2021-05-16 15:20:26,15
5,2021-05-14 11:01:35,21
5,2021-05-08 19:25:30,18
5,2021-05-15 21:57:46,4
5,2021-05-22 11:15:17,4
5,2021-05-06 00:11:48,1
6,2021-05-21 08:14:48,11
6,2021-05-11 09:16:00,10
6,2021-05-04 07:53:33,6
6,2021-05-01 02:25:42,10
6,2021-05-10 05:11:07,10
6,2021-05-07 13:44:43,15
6,2021-05-07 22:13:04,13
6,2021-05-08 06:14:41,1
6,2021-05-21 12:23:52,2
7,2021-05-04 13:15:03,2
7,2021-05-07 12:56:01,7
7,2021-05-29 05:22:48,8
7,2021-05-07 08:56:15,8
7,2021-05-07 09:48:01,9
7,2021-05-19 12:38:51,11
7,2021-05-30 00:29:50,14
7,2021-05-04 15:30:30,5
7,2021-05-26 17:02:04,1
7,2021-05-24 09:15:01,1
8,2021-05-26 20:12:21,15
8,2021-05-26 09:25:11,20
8,2021-05-15 19:53:10,22
8,2021-05-03 07:48:46,21
8,2021-05-12 17:52:30,18
8,2021-05-11 12:14:42,14
8,2021-05-31 05:48:37,3
8,2021-05-12 06:14:50,2
8,2021-05-17 12:16:12,1
9,2021-05-19 03:39:58,10
9,2021-05-29 05:03:39,21
9,2021-05-28 13:50:23,10
9,2021-05-14 09:41:36,7
9,2021-05-14 20:22:49,13
9,2021-05-13 10:01:43,11
9,2021-05-06 17:25:44,13
9,2021-05-21 20:25:21,6
9,2021-05-07 21:33:13,7
9,2021-05-01 21:40:05,5
9,2021-05-17 07:12:39,2
9,2021-05-03 18:06:19,2
